energy_center_gev track_center_m mu_fitted sigma_fitted
132.345911 93.915342 -1.296543 0.095983
132.345911 126.635341 -1.299484 0.087306
181.914962 0.432520 -0.654688 0.761853
181.914962 0.583209 -0.717131 0.716565
181.914962 0.786398 -0.778821 0.667293
181.914962 1.060378 -0.840817 0.614214
181.914962 1.429813 -0.900982 0.558471
181.914962 1.927958 -0.961792 0.504423
181.914962 2.599657 -1.028140 0.456580
181.914962 3.505374 -1.098728 0.417027
181.914962 4.726642 -1.161437 0.378546
181.914962 6.373399 -1.201653 0.338530
181.914962 8.593884 -1.211178 0.299147
181.914962 11.587984 -1.229090 0.256344
181.914962 15.625224 -1.239605 0.220397
181.914962 21.069035 -1.246268 0.195005
181.914962 28.409463 -1.253681 0.171721
181.914962 38.307288 -1.261697 0.148663
181.914962 51.653503 -1.267967 0.126158
181.914962 69.649526 -1.270883 0.109025
181.914962 93.915342 -1.274081 0.097746
181.914962 126.635341 -1.276501 0.091278
250.049687 0.432520 -0.613751 0.805128
250.049687 0.583209 -0.672655 0.746579
250.049687 0.786398 -0.729413 0.685029
250.049687 1.060378 -0.786864 0.624340
250.049687 1.429813 -0.846394 0.566121
250.049687 1.927958 -0.909312 0.511918
250.049687 2.599657 -0.976958 0.463291
250.049687 3.505374 -1.048203 0.421335
250.049687 4.726642 -1.112234 0.381600
250.049687 6.373399 -1.161042 0.340769
250.049687 8.593884 -1.192150 0.300698
250.049687 11.587984 -1.207938 0.262309
250.049687 15.625224 -1.216371 0.228494
250.049687 21.069035 -1.225004 0.200844
250.049687 28.409463 -1.234148 0.176164
250.049687 38.307288 -1.241113 0.150999
250.049687 51.653503 -1.245288 0.127055
250.049687 69.649526 -1.248789 0.110371
250.049687 93.915342 -1.252042 0.100715
250.049687 126.635341 -1.254569 0.094523
343.703702 0.432520 -0.569475 0.815428
343.703702 0.583209 -0.630398 0.765010
343.703702 0.786398 -0.690796 0.707237
343.703702 1.060378 -0.749764 0.645280
343.703702 1.429813 -0.809945 0.584558
343.703702 1.927958 -0.873622 0.527713
343.703702 2.599657 -0.943194 0.475326
343.703702 3.505374 -1.016821 0.429609
343.703702 4.726642 -1.081265 0.383805
343.703702 6.373399 -1.134514 0.340937
343.703702 8.593884 -1.167275 0.301300
343.703702 11.587984 -1.186229 0.264894
343.703702 15.625224 -1.196026 0.232462
343.703702 21.069035 -1.204656 0.204406
343.703702 28.409463 -1.214279 0.179161
343.703702 38.307288 -1.221778 0.154576
343.703702 51.653503 -1.225733 0.129875
343.703702 69.649526 -1.229964 0.113272
343.703702 93.915342 -1.234052 0.103766
343.703702 126.635341 -1.236532 0.094989
472.435044 0.432520 -0.518914 0.792827
472.435044 0.583209 -0.585284 0.754427
472.435044 0.786398 -0.650855 0.713634
472.435044 1.060378 -0.717457 0.666851
472.435044 1.429813 -0.785324 0.610533
472.435044 1.927958 -0.852449 0.549481
472.435044 2.599657 -0.924830 0.491149
472.435044 3.505374 -0.999338 0.437864
472.435044 4.726642 -1.068700 0.381749
472.435044 6.373399 -1.118314 0.335989
472.435044 8.593884 -1.140319 0.300825
472.435044 11.587984 -1.162187 0.265694
472.435044 15.625224 -1.177950 0.233334
472.435044 21.069035 -1.186899 0.206099
472.435044 28.409463 -1.194564 0.181141
472.435044 38.307288 -1.202769 0.157305
472.435044 51.653503 -1.209633 0.134731
472.435044 69.649526 -1.214931 0.117368
472.435044 93.915342 -1.218866 0.104416
472.435044 126.635341 -1.221492 0.092310
649.381632 0.432520 -0.465184 0.753671
649.381632 0.583209 -0.537171 0.722987
649.381632 0.786398 -0.609632 0.690499
649.381632 1.060378 -0.683041 0.654402
649.381632 1.429813 -0.757873 0.612892
649.381632 1.927958 -0.834601 0.564164
649.381632 2.599657 -0.913714 0.506405
649.381632 3.505374 -0.996301 0.438552
649.381632 4.726642 -1.063953 0.375529
649.381632 6.373399 -1.096742 0.332254
649.381632 8.593884 -1.112116 0.299839
649.381632 11.587984 -1.134467 0.266224
649.381632 15.625224 -1.158709 0.232784
649.381632 21.069035 -1.171288 0.205140
649.381632 28.409463 -1.176291 0.182080
649.381632 38.307288 -1.183888 0.159419
649.381632 51.653503 -1.193865 0.137597
649.381632 69.649526 -1.200892 0.118963
649.381632 93.915342 -1.205081 0.102881
649.381632 126.635341 -1.207927 0.088031
